Gene	Length	Isolate
DW5_KAF7447201.1	72	DW5
DW5_KAF7447210.1	177	DW5
DW5_KAF7447211.1	213	DW5
DW5_KAF7447243.1	131	DW5
DW5_KAF7447249.1	354	DW5
DW5_KAF7447251.1	97	DW5
DW5_KAF7447259.1	208	DW5
DW5_KAF7447277.1	377	DW5
DW5_KAF7447279.1	222	DW5
DW5_KAF7447310.1	88	DW5
DW5_KAF7447328.1	101	DW5
DW5_KAF7447337.1	398	DW5
DW5_KAF7447343.1	85	DW5
DW5_KAF7447347.1	99	DW5
DW5_KAF7447394.1	241	DW5
DW5_KAF7447411.1	106	DW5
DW5_KAF7447451.1	145	DW5
DW5_KAF7447470.1	146	DW5
DW5_KAF7447528.1	93	DW5
DW5_KAF7447566.1	203	DW5
DW5_KAF7447570.1	84	DW5
DW5_KAF7447571.1	226	DW5
DW5_KAF7447573.1	116	DW5
DW5_KAF7447597.1	252	DW5
DW5_KAF7447602.1	131	DW5
DW5_KAF7447630.1	172	DW5
DW5_KAF7447631.1	213	DW5
DW5_KAF7447703.1	118	DW5
DW5_KAF7447705.1	253	DW5
DW5_KAF7447719.1	96	DW5
DW5_KAF7447756.1	295	DW5
DW5_KAF7447774.1	93	DW5
DW5_KAF7447801.1	149	DW5
DW5_KAF7447829.1	449	DW5
DW5_KAF7447840.1	170	DW5
DW5_KAF7447903.1	98	DW5
DW5_KAF7447935.1	198	DW5
DW5_KAF7447942.1	155	DW5
DW5_KAF7447981.1	194	DW5
DW5_KAF7447997.1	78	DW5
DW5_KAF7447998.1	247	DW5
DW5_KAF7448000.1	91	DW5
DW5_KAF7448002.1	59	DW5
DW5_KAF7448018.1	299	DW5
DW5_KAF7448031.1	144	DW5
DW5_KAF7448045.1	318	DW5
DW5_KAF7448046.1	251	DW5
DW5_KAF7448082.1	85	DW5
DW5_KAF7448083.1	150	DW5
DW5_KAF7448097.1	134	DW5
DW5_KAF7448098.1	134	DW5
DW5_KAF7448106.1	69	DW5
DW5_KAF7448120.1	309	DW5
DW5_KAF7448167.1	56	DW5
DW5_KAF7448177.1	378	DW5
DW5_KAF7448185.1	101	DW5
DW5_KAF7448186.1	114	DW5
DW5_KAF7448262.1	154	DW5
DW5_KAF7448300.1	219	DW5
DW5_KAF7448317.1	77	DW5
DW5_KAF7448351.1	314	DW5
DW5_KAF7448364.1	97	DW5
DW5_KAF7448445.1	229	DW5
DW5_KAF7448482.1	85	DW5
DW5_KAF7448495.1	72	DW5
DW5_KAF7448512.1	91	DW5
DW5_KAF7448536.1	149	DW5
DW5_KAF7448543.1	119	DW5
DW5_KAF7448571.1	195	DW5
DW5_KAF7448597.1	131	DW5
DW5_KAF7448639.1	260	DW5
DW5_KAF7448662.1	54	DW5
DW5_KAF7448666.1	110	DW5
DW5_KAF7448678.1	64	DW5
DW5_KAF7448701.1	128	DW5
DW5_KAF7448702.1	109	DW5
DW5_KAF7448710.1	99	DW5
DW5_KAF7448717.1	136	DW5
DW5_KAF7448719.1	210	DW5
DW5_KAF7448827.1	156	DW5
DW5_KAF7448863.1	89	DW5
DW5_KAF7448895.1	140	DW5
DW5_KAF7448915.1	218	DW5
DW5_KAF7448918.1	446	DW5
DW5_KAF7448929.1	105	DW5
DW5_KAF7448977.1	69	DW5
DW5_KAF7448989.1	85	DW5
DW5_KAF7449045.1	248	DW5
DW5_KAF7449046.1	174	DW5
DW5_KAF7449065.1	136	DW5
DW5_KAF7449081.1	166	DW5
DW5_KAF7449102.1	177	DW5
DW5_KAF7449131.1	258	DW5
DW5_KAF7449173.1	176	DW5
DW5_KAF7449198.1	221	DW5
DW5_KAF7449199.1	109	DW5
DW5_KAF7449200.1	196	DW5
DW5_KAF7449230.1	277	DW5
DW5_KAF7449312.1	203	DW5
DW5_KAF7449333.1	97	DW5
DW5_KAF7449373.1	104	DW5
DW5_KAF7449386.1	161	DW5
DW5_KAF7449456.1	130	DW5
DW5_KAF7449464.1	248	DW5
DW5_KAF7449510.1	292	DW5
DW5_KAF7449535.1	91	DW5
DW5_KAF7449554.1	106	DW5
DW5_KAF7449602.1	76	DW5
DW5_KAF7449650.1	93	DW5
DW5_KAF7449652.1	73	DW5
DW5_KAF7449675.1	63	DW5
DW5_KAF7449743.1	84	DW5
DW5_KAF7449745.1	228	DW5
DW5_KAF7449780.1	270	DW5
DW5_KAF7449783.1	211	DW5
DW5_KAF7449832.1	112	DW5
DW5_KAF7449873.1	92	DW5
DW5_KAF7449878.1	92	DW5
DW5_KAF7449879.1	104	DW5
DW5_KAF7449890.1	87	DW5
DW5_KAF7449932.1	109	DW5
DW5_KAF7449956.1	197	DW5
DW5_KAF7450034.1	140	DW5
DW5_KAF7450055.1	251	DW5
DW5_KAF7450064.1	221	DW5
DW5_KAF7450095.1	245	DW5
DW5_KAF7450097.1	187	DW5
DW5_KAF7450120.1	210	DW5
DW5_KAF7450158.1	96	DW5
DW5_KAF7450160.1	448	DW5
DW5_KAF7450281.1	349	DW5
DW5_KAF7450330.1	234	DW5
DW5_KAF7450339.1	123	DW5
DW5_KAF7450395.1	425	DW5
DW5_KAF7450423.1	179	DW5
DW5_KAF7450453.1	167	DW5
DW5_KAF7450466.1	231	DW5
DW5_KAF7450489.1	52	DW5
DW5_KAF7450512.1	82	DW5
DW5_KAF7450533.1	182	DW5
DW5_KAF7450561.1	164	DW5
DW5_KAF7450562.1	171	DW5
DW5_KAF7450585.1	382	DW5
DW5_KAF7450587.1	449	DW5
DW5_KAF7450620.1	255	DW5
DW5_KAF7450622.1	155	DW5
DW5_KAF7450655.1	308	DW5
DW5_KAF7450692.1	133	DW5
DW5_KAF7450710.1	133	DW5
DW5_KAF7450716.1	64	DW5
DW5_KAF7450717.1	92	DW5
DW5_KAF7450719.1	59	DW5
DW5_KAF7450720.1	291	DW5
DW5_KAF7450721.1	355	DW5
DW5_KAF7450753.1	187	DW5
DW5_KAF7450777.1	185	DW5
DW5_KAF7450794.1	62	DW5
DW5_KAF7450810.1	482	DW5
DW5_KAF7450883.1	197	DW5
DW5_KAF7450886.1	110	DW5
DW5_KAF7450891.1	96	DW5
DW5_KAF7450892.1	83	DW5
DW5_KAF7450893.1	69	DW5
DW5_KAF7450977.1	107	DW5
DW5_KAF7451067.1	331	DW5
DW5_KAF7451081.1	89	DW5
DW5_KAF7451093.1	286	DW5
DW5_KAF7451175.1	103	DW5
DW5_KAF7451181.1	103	DW5
DW5_KAF7451184.1	104	DW5
DW5_KAF7451185.1	92	DW5
DW5_KAF7451198.1	86	DW5
DW5_KAF7451199.1	63	DW5
DW5_KAF7451231.1	230	DW5
DW5_KAF7451234.1	167	DW5
DW5_KAF7451240.1	251	DW5
DW5_KAF7451262.1	123	DW5
DW5_KAF7451296.1	384	DW5
DW5_KAF7451321.1	246	DW5
DW5_KAF7451327.1	55	DW5
DW5_KAF7451328.1	402	DW5
DW5_KAF7451333.1	390	DW5
DW5_KAF7451381.1	70	DW5
DW5_KAF7451459.1	134	DW5
DW5_KAF7451493.1	66	DW5
DW5_KAF7451629.1	196	DW5
DW5_KAF7451663.1	132	DW5
DW5_KAF7451715.1	178	DW5
DW5_KAF7451716.1	257	DW5
DW5_KAF7451723.1	147	DW5
DW5_KAF7451727.1	74	DW5
DW5_KAF7451792.1	240	DW5
DW5_KAF7451799.1	140	DW5
DW5_KAF7451823.1	313	DW5
DW5_KAF7451827.1	99	DW5
DW5_KAF7451829.1	166	DW5
DW5_KAF7451839.1	93	DW5
DW5_KAF7451840.1	153	DW5
DW5_KAF7451969.1	322	DW5
DW5_KAF7451975.1	39	DW5
DW5_KAF7452017.1	394	DW5
DW5_KAF7452057.1	162	DW5
DW5_KAF7452077.1	88	DW5
DW5_KAF7452128.1	212	DW5
DW5_KAF7452165.1	86	DW5
DW5_KAF7452166.1	104	DW5
DW5_KAF7452187.1	124	DW5
DW5_KAF7452240.1	120	DW5
DW5_KAF7452299.1	206	DW5
DW5_KAF7452335.1	81	DW5
DW5_KAF7452357.1	278	DW5
DW5_KAF7452394.1	249	DW5
DW5_KAF7452423.1	191	DW5
DW5_KAF7452440.1	135	DW5
DW5_KAF7452474.1	103	DW5
DW5_KAF7452490.1	75	DW5
DW5_KAF7452509.1	74	DW5
DW5_KAF7452532.1	108	DW5
DW5_KAF7452596.1	158	DW5
DW5_KAF7452611.1	241	DW5
DW5_KAF7452657.1	85	DW5
DW5_KAF7452658.1	115	DW5
DW5_KAF7452667.1	116	DW5
DW5_KAF7452747.1	92	DW5
DW5_KAF7452748.1	92	DW5
DW5_KAF7452749.1	104	DW5
DW5_KAF7452769.1	140	DW5
DW5_KAF7452772.1	121	DW5
DW5_KAF7452787.1	96	DW5
DW5_KAF7452802.1	93	DW5
DW5_KAF7452809.1	140	DW5
DW5_KAF7452844.1	35	DW5
DW5_KAF7452873.1	215	DW5
DW5_KAF7452880.1	399	DW5
DW5_KAF7452920.1	109	DW5
DW5_KAF7452940.1	84	DW5
DW5_KAF7452942.1	175	DW5
DW5_KAF7452944.1	199	DW5
DW5_KAF7452961.1	496	DW5
DW5_KAF7453017.1	158	DW5
DW5_KAF7453018.1	252	DW5
DW5_KAF7453101.1	164	DW5
DW5_KAF7453111.1	79	DW5
DW5_KAF7453166.1	154	DW5
DW5_KAF7453175.1	160	DW5
DW5_KAF7453186.1	237	DW5
DW5_KAF7453231.1	77	DW5
DW5_KAF7453266.1	317	DW5
DW5_KAF7453270.1	367	DW5
DW5_KAF7453275.1	135	DW5
DW5_KAF7453311.1	228	DW5
DW5_KAF7453319.1	432	DW5
DW5_KAF7453337.1	172	DW5
DW5_KAF7453338.1	185	DW5
DW5_KAF7453478.1	136	DW5
DW5_KAF7453479.1	128	DW5
DW5_KAF7453521.1	385	DW5
DW5_KAF7453523.1	99	DW5
DW5_KAF7453543.1	258	DW5
DW5_KAF7453656.1	108	DW5
DW5_KAF7453681.1	353	DW5
DW5_KAF7453689.1	67	DW5
DW5_KAF7453716.1	330	DW5
DW5_KAF7453726.1	258	DW5
DW5_KAF7453730.1	144	DW5
DW5_KAF7453742.1	183	DW5
DW5_KAF7453752.1	49	DW5
DW5_KAF7453812.1	267	DW5
DW5_KAF7453964.1	146	DW5
DW5_KAF7453966.1	113	DW5
DW5_KAF7454022.1	123	DW5
DW5_KAF7454026.1	66	DW5
DW5_KAF7454056.1	256	DW5
DW5_KAF7454071.1	137	DW5
DW5_KAF7454081.1	76	DW5
DW5_KAF7454082.1	117	DW5
DW5_KAF7454091.1	291	DW5
DW5_KAF7454104.1	147	DW5
DW5_KAF7454171.1	130	DW5
DW5_KAF7454231.1	174	DW5
DW5_KAF7454244.1	145	DW5
DW5_KAF7454294.1	173	DW5
DW5_KAF7454357.1	106	DW5
DW5_KAF7454361.1	208	DW5
DW5_KAF7454367.1	93	DW5
DW5_KAF7454382.1	72	DW5
DW5_KAF7454401.1	96	DW5
DW5_KAF7454402.1	96	DW5
DW5_KAF7454403.1	129	DW5
DW5_KAF7454420.1	130	DW5
DW5_KAF7454431.1	341	DW5
DW5_KAF7454449.1	119	DW5
DW5_KAF7454464.1	203	DW5
DW5_KAF7454508.1	171	DW5
DW5_KAF7454533.1	106	DW5
DW5_KAF7454539.1	89	DW5
DW5_KAF7454610.1	174	DW5
DW5_KAF7454697.1	58	DW5
DW5_KAF7454731.1	74	DW5
DW5_KAF7454776.1	102	DW5
DW5_KAF7454840.1	315	DW5
DW5_KAF7454861.1	74	DW5
DW5_KAF7454912.1	95	DW5
DW5_KAF7454931.1	187	DW5
DW5_KAF7454955.1	114	DW5
DW5_KAF7454956.1	93	DW5
DW5_KAF7454967.1	42	DW5
DW5_KAF7454985.1	107	DW5
DW5_KAF7455073.1	500	DW5
DW5_KAF7455074.1	236	DW5
DW5_KAF7455093.1	236	DW5
DW5_KAF7455111.1	369	DW5
DW5_KAF7455123.1	245	DW5
DW5_KAF7455171.1	324	DW5
DW5_KAF7455187.1	304	DW5
DW5_KAF7455199.1	222	DW5
DW5_KAF7455315.1	95	DW5
DW5_KAF7455318.1	231	DW5
DW5_KAF7455352.1	256	DW5
DW5_KAF7455368.1	172	DW5
DW5_KAF7455383.1	119	DW5
DW5_KAF7455409.1	98	DW5
DW5_KAF7455538.1	282	DW5
DW5_KAF7455577.1	203	DW5
DW5_KAF7455611.1	117	DW5
DW5_KAF7455618.1	420	DW5
DW5_KAF7455652.1	172	DW5
DW5_KAF7455676.1	273	DW5
V1_KAA8610894.1	201	V1
V1_KAA8611154.1	256	V1
V1_KAA8611222.1	387	V1
V1_KAA8611264.1	495	V1
V1_KAA8611280.1	245	V1
V1_KAA8611303.1	114	V1
V1_KAA8611529.1	116	V1
V1_KAA8611530.1	226	V1
V1_KAA8611531.1	84	V1
V1_KAA8611535.1	238	V1
V1_KAA8611572.1	93	V1
V1_KAA8611596.1	413	V1
V1_KAA8611631.1	146	V1
V1_KAA8611686.1	97	V1
V1_KAA8611701.1	241	V1
V1_KAA8611707.1	54	V1
V1_KAA8611752.1	81	V1
V1_KAA8611756.1	85	V1
V1_KAA8611763.1	398	V1
V1_KAA8611772.1	88	V1
V1_KAA8611787.1	88	V1
V1_KAA8611817.1	222	V1
V1_KAA8611834.1	208	V1
V1_KAA8611842.1	97	V1
V1_KAA8611844.1	354	V1
V1_KAA8611850.1	131	V1
V1_KAA8611890.1	177	V1
V1_KAA8611899.1	87	V1
V1_KAA8611909.1	222	V1
V1_KAA8611927.1	278	V1
V1_KAA8611983.1	178	V1
V1_KAA8612346.1	254	V1
V1_KAA8612364.1	162	V1
V1_KAA8612365.1	631	V1
V1_KAA8612368.1	253	V1
V1_KAA8612373.1	109	V1
V1_KAA8612375.1	51	V1
V1_KAA8612386.1	100	V1
V1_KAA8612393.1	227	V1
V1_KAA8612483.1	81	V1
V1_KAA8612506.1	454	V1
V1_KAA8612527.1	90	V1
V1_KAA8612534.1	273	V1
V1_KAA8612557.1	298	V1
V1_KAA8612559.1	126	V1
V1_KAA8612561.1	142	V1
V1_KAA8612583.1	193	V1
V1_KAA8612590.1	258	V1
V1_KAA8612672.1	112	V1
V1_KAA8612700.1	232	V1
V1_KAA8612741.1	75	V1
V1_KAA8612742.1	48	V1
V1_KAA8612758.1	201	V1
V1_KAA8612774.1	134	V1
V1_KAA8612796.1	105	V1
V1_KAA8612813.1	240	V1
V1_KAA8612819.1	86	V1
V1_KAA8612821.1	92	V1
V1_KAA8613244.1	256	V1
V1_KAA8613271.1	93	V1
V1_KAA8613277.1	222	V1
V1_KAA8613323.1	335	V1
V1_KAA8613324.1	238	V1
V1_KAA8613351.1	111	V1
V1_KAA8613375.1	130	V1
V1_KAA8613378.1	244	V1
V1_KAA8613512.1	58	V1
V1_KAA8613532.1	518	V1
V1_KAA8613535.1	78	V1
V1_KAA8613536.1	81	V1
V1_KAA8613578.1	133	V1
V1_KAA8613595.1	227	V1
V1_KAA8613604.1	108	V1
V1_KAA8613684.1	94	V1
V1_KAA8613686.1	191	V1
V1_KAA8613900.1	135	V1
V1_KAA8613924.1	187	V1
V1_KAA8614424.1	214	V1
V1_KAA8614436.1	90	V1
V1_KAA8614460.1	138	V1
V1_KAA8614463.1	160	V1
V1_KAA8614473.1	245	V1
V1_KAA8614491.1	501	V1
V1_KAA8614514.1	87	V1
V1_KAA8614524.1	131	V1
V1_KAA8614538.1	103	V1
V1_KAA8614542.1	127	V1
V1_KAA8614543.1	145	V1
V1_KAA8614553.1	68	V1
V1_KAA8614594.1	303	V1
V1_KAA8614614.1	121	V1
V1_KAA8614623.1	109	V1
V1_KAA8614634.1	340	V1
V1_KAA8614685.1	351	V1
V1_KAA8614846.1	86	V1
V1_KAA8614847.1	81	V1
V1_KAA8614859.1	125	V1
V1_KAA8614872.1	274	V1
V1_KAA8614878.1	66	V1
V1_KAA8614879.1	227	V1
V1_KAA8615010.1	107	V1
V1_KAA8615026.1	189	V1
V1_KAA8615073.1	52	V1
V1_KAA8615076.1	50	V1
V1_KAA8615079.1	230	V1
V1_KAA8615105.1	52	V1
V1_KAA8615261.1	68	V1
V1_KAA8615264.1	76	V1
V1_KAA8615300.1	85	V1
V1_KAA8615321.1	69	V1
V1_KAA8615330.1	81	V1
V1_KAA8615341.1	478	V1
V1_KAA8615350.1	76	V1
V1_KAA8615356.1	326	V1
V1_KAA8615395.1	148	V1
V1_KAA8615561.1	510	V1
V1_KAA8615584.1	72	V1
V1_KAA8615684.1	418	V1
V1_KAA8615810.1	181	V1
V1_KAA8615815.1	82	V1
V1_KAA8615872.1	235	V1
V1_KAA8615944.1	36	V1
V1_KAA8615947.1	100	V1
V1_KAA8615954.1	88	V1
V1_KAA8615970.1	61	V1
V1_KAA8616506.1	92	V1
V1_KAA8616507.1	90	V1
V1_KAA8616521.1	84	V1
V1_KAA8616526.1	326	V1
V1_KAA8616542.1	80	V1
V1_KAA8616619.1	111	V1
V1_KAA8616621.1	90	V1
V1_KAA8616635.1	244	V1
V1_KAA8616737.1	147	V1
V1_KAA8616801.1	85	V1
V1_KAA8616819.1	43	V1
V1_KAA8616822.1	72	V1
V1_KAA8616839.1	122	V1
V1_KAA8616869.1	121	V1
V1_KAA8616873.1	97	V1
V1_KAA8616911.1	76	V1
V1_KAA8616966.1	137	V1
V1_KAA8616981.1	105	V1
V1_KAA8616992.1	89	V1
V1_KAA8617146.1	206	V1
V1_KAA8617197.1	86	V1
V1_KAA8617261.1	104	V1
V1_KAA8617405.1	96	V1
V1_KAA8617449.1	190	V1
V1_KAA8617497.1	76	V1
V1_KAA8617498.1	161	V1
V1_KAA8617503.1	157	V1
V1_KAA8617504.1	100	V1
V1_KAA8617509.1	238	V1
V1_KAA8617532.1	95	V1
V1_KAA8617554.1	83	V1
V1_KAA8617590.1	173	V1
V1_KAA8617597.1	205	V1
V1_KAA8617605.1	67	V1
V1_KAA8617609.1	49	V1
V1_KAA8617623.1	211	V1
V1_KAA8617667.1	89	V1
V1_KAA8617677.1	129	V1
V1_KAA8617682.1	78	V1
V1_KAA8617684.1	76	V1
V1_KAA8617706.1	124	V1
V1_KAA8617708.1	121	V1
V1_KAA8617735.1	212	V1
V1_KAA8617817.1	43	V1
V1_KAA8617831.1	319	V1
V1_KAA8617849.1	59	V1
V1_KAA8617889.1	406	V1
V1_KAA8617901.1	158	V1
V1_KAA8617963.1	74	V1
V1_KAA8617985.1	236	V1
V1_KAA8617988.1	231	V1
V1_KAA8617997.1	121	V1
V1_KAA8618015.1	95	V1
V1_KAA8618023.1	165	V1
V1_KAA8618080.1	66	V1
V1_KAA8618097.1	402	V1
V1_KAA8618129.1	148	V1
V1_KAA8618193.1	150	V1
V1_KAA8618194.1	93	V1
V1_KAA8618216.1	66	V1
V1_KAA8618242.1	301	V1
V1_KAA8618254.1	78	V1
V1_KAA8618270.1	135	V1
V1_KAA8618354.1	156	V1
V1_KAA8618390.1	89	V1
V1_KAA8618391.1	58	V1
V1_KAA8618423.1	140	V1
V1_KAA8618441.1	218	V1
V1_KAA8618444.1	446	V1
V1_KAA8618455.1	105	V1
V1_KAA8618506.1	69	V1
V1_KAA8618516.1	85	V1
V1_KAA8618571.1	248	V1
V1_KAA8618572.1	174	V1
V1_KAA8618591.1	136	V1
V1_KAA8618630.1	177	V1
V1_KAA8618657.1	258	V1
V1_KAA8618699.1	176	V1
V1_KAA8618725.1	221	V1
V1_KAA8618726.1	109	V1
V1_KAA8618727.1	196	V1
V1_KAA8618759.1	277	V1
V1_KAA8618780.1	147	V1
V1_KAA8618846.1	203	V1
V1_KAA8618867.1	97	V1
V1_KAA8618890.1	130	V1
V1_KAA8618961.1	161	V1
V1_KAA8618976.1	104	V1
V1_KAA8619001.1	248	V1
V1_KAA8619045.1	292	V1
V1_KAA8619070.1	91	V1
V1_KAA8619088.1	106	V1
V1_KAA8619131.1	76	V1
V1_KAA8619177.1	93	V1
V1_KAA8619179.1	64	V1
V1_KAA8619182.1	146	V1
V1_KAA8619204.1	63	V1
V1_KAA8619273.1	84	V1
V1_KAA8619275.1	228	V1
V1_KAA8619308.1	270	V1
V1_KAA8619311.1	211	V1
V1_KAA8619383.1	144	V1
V1_KAA8619397.1	112	V1
V1_KAA8619404.1	92	V1
V1_KAA8619405.1	104	V1
V1_KAA8619409.1	104	V1
V1_KAA8619410.1	92	V1
V1_KAA8619412.1	92	V1
V1_KAA8619453.1	252	V1
V1_KAA8619458.1	131	V1
V1_KAA8619486.1	157	V1
V1_KAA8619487.1	237	V1
V1_KAA8619559.1	118	V1
V1_KAA8619561.1	253	V1
V1_KAA8619573.1	96	V1
V1_KAA8619613.1	295	V1
V1_KAA8619633.1	93	V1
V1_KAA8619661.1	169	V1
V1_KAA8619687.1	449	V1
V1_KAA8619696.1	170	V1
V1_KAA8619763.1	98	V1
V1_KAA8619794.1	198	V1
V1_KAA8619801.1	155	V1
V1_KAA8619854.1	78	V1
V1_KAA8619855.1	247	V1
V1_KAA8619857.1	91	V1
V1_KAA8619859.1	59	V1
V1_KAA8619875.1	489	V1
V1_KAA8619888.1	144	V1
V1_KAA8619903.1	326	V1
V1_KAA8619904.1	238	V1
V1_KAA8619937.1	85	V1
V1_KAA8619938.1	150	V1
V1_KAA8619950.1	89	V1
V1_KAA8619957.1	68	V1
V1_KAA8619970.1	309	V1
V1_KAA8620013.1	56	V1
V1_KAA8620023.1	378	V1
V1_KAA8620031.1	133	V1
V1_KAA8620032.1	114	V1
V1_KAA8620047.1	193	V1
V1_KAA8620111.1	154	V1
V1_KAA8620149.1	219	V1
V1_KAA8620166.1	77	V1
V1_KAA8620196.1	314	V1
V1_KAA8620209.1	97	V1
V1_KAA8620292.1	229	V1
V1_KAA8620328.1	85	V1
V1_KAA8620355.1	91	V1
V1_KAA8620379.1	161	V1
V1_KAA8620386.1	119	V1
V1_KAA8620411.1	195	V1
V1_KAA8620441.1	131	V1
V1_KAA8620492.1	260	V1
V1_KAA8620511.1	54	V1
V1_KAA8620516.1	110	V1
V1_KAA8620528.1	64	V1
V1_KAA8620552.1	128	V1
V1_KAA8620553.1	109	V1
V1_KAA8620554.1	99	V1
V1_KAA8620566.1	192	V1
V1_KAA8620593.1	104	V1
V1_KAA8620600.1	103	V1
V1_KAA8620601.1	103	V1
V1_KAA8620607.1	92	V1
V1_KAA8620613.1	104	V1
V1_KAA8620614.1	92	V1
V1_KAA8620616.1	180	V1
V1_KAA8620623.1	92	V1
V1_KAA8620723.1	197	V1
V1_KAA8620789.1	140	V1
V1_KAA8620810.1	251	V1
V1_KAA8620819.1	221	V1
V1_KAA8620852.1	245	V1
V1_KAA8620854.1	187	V1
V1_KAA8620876.1	210	V1
V1_KAA8620913.1	96	V1
V1_KAA8620916.1	448	V1
V1_KAA8621037.1	349	V1
V1_KAA8621087.1	234	V1
V1_KAA8621097.1	123	V1
V1_KAA8621151.1	419	V1
V1_KAA8621180.1	179	V1
V1_KAA8621211.1	167	V1
V1_KAA8621223.1	231	V1
V1_KAA8621253.1	52	V1
V1_KAA8621278.1	82	V1
V1_KAA8621299.1	182	V1
V1_KAA8621326.1	164	V1
V1_KAA8621327.1	171	V1
V1_KAA8621350.1	382	V1
V1_KAA8621351.1	449	V1
V1_KAA8621385.1	255	V1
V1_KAA8621416.1	177	V1
V1_KAA8621451.1	133	V1
V1_KAA8621469.1	133	V1
V1_KAA8621476.1	64	V1
V1_KAA8621477.1	92	V1
V1_KAA8621479.1	59	V1
V1_KAA8621480.1	291	V1
V1_KAA8621481.1	355	V1
V1_KAA8621510.1	187	V1
V1_KAA8621537.1	185	V1
V1_KAA8621553.1	62	V1
V1_KAA8621569.1	482	V1
V1_KAA8621653.1	197	V1
V1_KAA8621654.1	37	V1
V1_KAA8621659.1	110	V1
V1_KAA8621666.1	96	V1
V1_KAA8621667.1	83	V1
V1_KAA8621751.1	294	V1
V1_KAA8621756.1	107	V1
V1_KAA8621848.1	331	V1
V1_KAA8621862.1	142	V1
V1_KAA8621876.1	286	V1
V1_KAA8621944.1	122	V1
V1_KAA8621979.1	181	V1
V1_KAA8622218.1	86	V1
V1_KAA8622219.1	63	V1
V1_KAA8622252.1	230	V1
V1_KAA8622255.1	167	V1
V1_KAA8622262.1	251	V1
V1_KAA8622285.1	123	V1
V1_KAA8622318.1	384	V1
V1_KAA8622346.1	402	V1
V1_KAA8622352.1	390	V1
V1_KAA8622397.1	103	V1
V1_KAA8622477.1	134	V1
V1_KAA8622507.1	66	V1
V1_KAA8622640.1	196	V1
V1_KAA8622672.1	132	V1
V1_KAA8622726.1	178	V1
V1_KAA8622727.1	257	V1
V1_KAA8622738.1	147	V1
V1_KAA8622743.1	74	V1
V1_KAA8622811.1	140	V1
V1_KAA8622834.1	313	V1
V1_KAA8622838.1	99	V1
V1_KAA8622840.1	166	V1
V1_KAA8622848.1	93	V1
V1_KAA8622849.1	153	V1
V1_KAA8622982.1	322	V1
V1_KAA8622988.1	39	V1
V1_KAA8623026.1	394	V1
V1_KAA8623065.1	162	V1
V1_KAA8623084.1	88	V1
V1_KAA8623132.1	212	V1
V1_KAA8623171.1	86	V1
V1_KAA8623172.1	104	V1
V1_KAA8623244.1	120	V1
V1_KAA8623301.1	206	V1
V1_KAA8623336.1	78	V1
V1_KAA8623352.1	278	V1
V1_KAA8623390.1	249	V1
V1_KAA8623416.1	191	V1
V1_KAA8623432.1	135	V1
V1_KAA8623469.1	103	V1
V1_KAA8623502.1	74	V1
V1_KAA8623525.1	48	V1
V1_KAA8623604.1	241	V1
V1_KAA8623647.1	85	V1
V1_KAA8623648.1	115	V1
V1_KAA8623657.1	116	V1
V1_KAA8623666.1	136	V1
V1_KAA8623688.1	278	V1
V1_KAA8623732.1	232	V1
V1_KAA8623733.1	75	V1
V1_KAA8623782.1	166	V1
V1_KAA8624366.1	140	V1
V1_KAA8624369.1	121	V1
V1_KAA8624382.1	96	V1
V1_KAA8624399.1	75	V1
V1_KAA8624406.1	105	V1
V1_KAA8624439.1	35	V1
V1_KAA8624469.1	215	V1
V1_KAA8624471.1	92	V1
V1_KAA8624476.1	399	V1
V1_KAA8624519.1	109	V1
V1_KAA8624539.1	84	V1
V1_KAA8624540.1	88	V1
V1_KAA8624541.1	156	V1
V1_KAA8624543.1	199	V1
V1_KAA8624560.1	496	V1
V1_KAA8624568.1	153	V1
V1_KAA8624619.1	158	V1
V1_KAA8624620.1	252	V1
V1_KAA8624703.1	164	V1
V1_KAA8624714.1	79	V1
V1_KAA8624772.1	154	V1
V1_KAA8624790.1	237	V1
V1_KAA8624834.1	77	V1
V1_KAA8624871.1	317	V1
V1_KAA8624875.1	367	V1
V1_KAA8624880.1	135	V1
V1_KAA8624916.1	228	V1
V1_KAA8624925.1	432	V1
V1_KAA8624943.1	154	V1
V1_KAA8624944.1	185	V1
V1_KAA8625082.1	136	V1
V1_KAA8625083.1	128	V1
V1_KAA8625124.1	385	V1
V1_KAA8625126.1	97	V1
V1_KAA8625145.1	258	V1
V1_KAA8625254.1	108	V1
V1_KAA8625281.1	353	V1
V1_KAA8625317.1	315	V1
V1_KAA8625330.1	144	V1
V1_KAA8625342.1	183	V1
V1_KAA8625349.1	273	V1
V1_KAA8625354.1	49	V1
V1_KAA8625413.1	267	V1
V1_KAA8625548.1	255	V1
V1_KAA8625557.1	146	V1
V1_KAA8625559.1	113	V1
V1_KAA8625604.1	123	V1
V1_KAA8625665.1	76	V1
V1_KAA8625666.1	117	V1
V1_KAA8625674.1	291	V1
V1_KAA8625687.1	147	V1
V1_KAA8625753.1	127	V1
V1_KAA8625814.1	174	V1
V1_KAA8625826.1	145	V1
V1_KAA8625878.1	173	V1
V1_KAA8625944.1	106	V1
V1_KAA8625948.1	208	V1
V1_KAA8625956.1	82	V1
V1_KAA8625970.1	72	V1
V1_KAA8625988.1	69	V1
V1_KAA8625989.1	96	V1
V1_KAA8625990.1	96	V1
V1_KAA8625991.1	129	V1
